NGA,Polity,Section,Subsection,Variable,Value From,Value To,Date From,Date To,Fact Type,Value Note,Date Note,Comment
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Ports,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Ceremonial site,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Burial site,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Trading emporia,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Enclosures,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Mines or quarries,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Other site,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Length,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Area,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Volume,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Weight,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Time,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Geometrical,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Other,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Mnemonic devices,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Written records,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Script,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Non-phonetic alphabetic writing,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Phonetic alphabetic writing,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Lists tables and classifications,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Calendar,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Sacred Texts,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Religious literature,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Practical literature,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,History,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Philosophy,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Scientific literature,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Information,Fiction,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Articles,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Tokens,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Precious metals,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Foreign coins,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Indigenous coins,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Debt and credit structures,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Couriers,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,Postal stations,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,,RA,Eva Brandl,,,,complex,list,,
Ghanaian Coast,GhAshnL,Social Complexity variables,,RA, Daniel Mullins,,,,complex,list,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Social Scale,Polity territory,259000,,1874CE,,complex,simple,simple,
Ghanaian Coast,GhAshnL,Social Complexity variables,Social Scale,Polity Population,3000000,,1874CE,,complex,simple,simple,
Ghanaian Coast,GhAshnL,Social Complexity variables,Social Scale,Population of the largest settlement,13500,,,,complex,disputed,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Social Scale,Population of the largest settlement,22500,,,,complex,disputed,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Social Scale,Largest communication distance,370,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,4,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Hierarchical Complexity,Administrative levels,6,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Hierarchical Complexity,Religious levels,4,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Hierarchical Complexity,Military levels,6,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Professions,Occupational complexity,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Professions,Professional military officers,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Professions,Professional soldiers,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Professions,Professional priesthood,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Bureaucracy characteristics,Source of support,state salary,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Bureaucracy characteristics,Examination system,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Bureaucracy characteristics,Merit promotion,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Law,Judges,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Law,Courts,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Law,Professional Lawyers,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,markets,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Roads,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Bridges,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Canals,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Ports,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Ceremonial site,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Trading emporia,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Enclosures,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Mines or quarries,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Specialized Buildings: polity owned,Other site,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Length,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Area,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Volume,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Weight,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Time,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Geometrical,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Other,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Mnemonic devices,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Written records,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Script,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Non-phonetic alphabetic writing,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Phonetic alphabetic writing,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Lists tables and classifications,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Calendar,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Sacred Texts,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Religious literature,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Practical literature,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,History,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Philosophy,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Scientific literature,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Information,Fiction,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Articles,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Tokens,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Precious metals,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Foreign coins,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Indigenous coins,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Debt and credit structures,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Couriers,present,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Postal stations,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnL,Social Complexity variables,Other,Fastest individual communication,20,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,,RA,Eva Brandl,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,3,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Hierarchical Complexity,Administrative levels,4,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Hierarchical Complexity,Religious levels,3,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Hierarchical Complexity,Military levels,5,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Professions,Occupational complexity,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Professions,Professional military officers,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Professions,Professional soldiers,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Professions,Professional priesthood,inferred present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Source of support,governed population,,,,complex,list,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Source of support, land,,,,complex,list,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Examination system,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Merit promotion,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Law,Judges,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Law,Courts,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Law,Professional Lawyers,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,markets,inferred present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Bridges,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Canals,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Ceremonial site,inferred present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Trading emporia,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Enclosures,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Mines or quarries,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Specialized Buildings: polity owned,Other site,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Length,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Volume,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Weight,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Time,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Geometrical,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Other,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Mnemonic devices,inferred present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Written records,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Script,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Non-phonetic alphabetic writing,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Phonetic alphabetic writing,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Lists tables and classifications,inferred absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Calendar,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Sacred Texts,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Religious literature,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Practical literature,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,History,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Philosophy,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Scientific literature,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Information,Fiction,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Articles,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Tokens,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Precious metals,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Indigenous coins,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,Postal stations,absent,,,,simple,simple,,
Ghanaian Coast,PreAshanti,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,,RA,Eva Brandl,,,,complex,list,,
Ghanaian Coast,Ashanti,Social Complexity variables,,RA, Daniel Mullins,,,,complex,list,,
Ghanaian Coast,Ashanti,Social Complexity variables,Social Scale,Polity territory,259000,,1874CE,,complex,simple,simple,
Ghanaian Coast,Ashanti,Social Complexity variables,Social Scale,Polity Population,3000000,,1874CE,,complex,simple,simple,
Ghanaian Coast,Ashanti,Social Complexity variables,Social Scale,Population of the largest settlement,12000â€“15000,,,,complex,disputed,,
Ghanaian Coast,Ashanti,Social Complexity variables,Social Scale,Population of the largest settlement,20000â€“25000,,,,complex,disputed,,
Ghanaian Coast,Ashanti,Social Complexity variables,Social Scale,Largest communication distance,370,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,4,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Hierarchical Complexity,Administrative levels,6,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Hierarchical Complexity,Religious levels,4,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Hierarchical Complexity,Military levels,6,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Professions,Occupational complexity,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Professions,Professional military officers,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Professions,Professional soldiers,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Professions,Professional priesthood,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Bureaucracy characteristics,Source of support,state salary,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Bureaucracy characteristics,Examination system,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Bureaucracy characteristics,Merit promotion,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Law,Judges,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Law,Courts,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Law,Professional Lawyers,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,markets,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Roads,present,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Bridges,absent,,,,simple,simple,,
Ghanaian Coast,Ashanti,Social Complexity variables,Specialized Buildings: polity owned,Canals,absent,,,,simple,simple,,
